"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDMV"
"USC00180700","BELTSVILLE, MD US","2019-10-29","0.00","0.0","0.0","69","53","57","19.9"
"USC00180700","BELTSVILLE, MD US","2019-10-30","0.00","0.0","0.0","66","53","59","11.8"
"USC00180700","BELTSVILLE, MD US","2019-10-31","0.57","0.0","0.0","68","59","68","6.8"
"USC00180700","BELTSVILLE, MD US","2019-11-01","0.97","0.0","0.0","78","42","45",
"USC00180700","BELTSVILLE, MD US","2019-11-02","0.00","0.0","0.0","52","31","35",
"USC00180700","BELTSVILLE, MD US","2019-11-03","0.00","0.0","0.0","54","32","38",
"USC00180700","BELTSVILLE, MD US","2019-11-04","0.00","0.0","0.0","54","31","36",
"USC00180700","BELTSVILLE, MD US","2019-11-05","0.00","0.0","0.0","61","35","40",
"USC00180700","BELTSVILLE, MD US","2019-11-06","0.00","0.0","0.0","65","37","42",
"USC00180700","BELTSVILLE, MD US","2019-11-07","0.00","0.0","0.0","59","38","48",
"USC00180700","BELTSVILLE, MD US","2019-11-08","0.09","0.0","0.0","58","36","37",
"USC00180700","BELTSVILLE, MD US","2019-11-09","0.00","0.0","0.0","42","24","28",
"USC00180700","BELTSVILLE, MD US","2019-11-10","0.00","0.0","0.0","44","28","38",
"USC00180700","BELTSVILLE, MD US","2019-11-11","0.00","0.0","0.0","56","34","38",
